accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,n_groups,background_groups,drone_groups,false_alarm_count,false_alarm_rate,missed_drone_count,missed_drone_rate,detection_rate,coverage,snr_db,repeat
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,-5,1
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,-5,2
0.3333333333333333,0.5555555555555556,0.6363636363636364,0.5555555555555556,0.3142857142857143,12,3,9,0,0.0,8,0.8888888888888888,0.1111111111111111,1.0,-5,3
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,-5,4
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,-5,5
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,0,1
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,0,2
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,0,3
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,0,4
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,0,5
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,5,1
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,5,2
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,5,3
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,5,4
0.25,0.5,0.125,0.5,0.2,12,3,9,0,0.0,9,1.0,0.0,1.0,5,5
0.3333333333333333,0.5555555555555556,0.6363636363636364,0.5555555555555556,0.3142857142857143,12,3,9,0,0.0,8,0.8888888888888888,0.1111111111111111,1.0,10,1
0.4166666666666667,0.6111111111111112,0.65,0.6111111111111112,0.4125874125874126,12,3,9,0,0.0,7,0.7777777777777778,0.2222222222222222,1.0,10,2
0.3333333333333333,0.5555555555555556,0.6363636363636364,0.5555555555555556,0.3142857142857143,12,3,9,0,0.0,8,0.8888888888888888,0.1111111111111111,1.0,10,3
0.4166666666666667,0.6111111111111112,0.65,0.6111111111111112,0.4125874125874126,12,3,9,0,0.0,7,0.7777777777777778,0.2222222222222222,1.0,10,4
0.4166666666666667,0.6111111111111112,0.65,0.6111111111111112,0.4125874125874126,12,3,9,0,0.0,7,0.7777777777777778,0.2222222222222222,1.0,10,5
0.9166666666666666,0.9444444444444444,0.875,0.9444444444444444,0.8991596638655461,12,3,9,0,0.0,1,0.1111111111111111,0.8888888888888888,1.0,20,1
0.9166666666666666,0.9444444444444444,0.875,0.9444444444444444,0.8991596638655461,12,3,9,0,0.0,1,0.1111111111111111,0.8888888888888888,1.0,20,2
0.9166666666666666,0.9444444444444444,0.875,0.9444444444444444,0.8991596638655461,12,3,9,0,0.0,1,0.1111111111111111,0.8888888888888888,1.0,20,3
0.8333333333333334,0.8888888888888888,0.8,0.8888888888888888,0.8125,12,3,9,0,0.0,2,0.2222222222222222,0.7777777777777778,1.0,20,4
0.9166666666666666,0.9444444444444444,0.875,0.9444444444444444,0.8991596638655461,12,3,9,0,0.0,1,0.1111111111111111,0.8888888888888888,1.0,20,5
