group_id,activity,fold,puntaje__dron,puntaje__fondo,parts_used,prediction,margin,rejected,stage,source,model,puntaje__ar,puntaje__bebop,puntaje__phantom,mode,puntaje__conectado,puntaje__hovering,puntaje__video,puntaje__vuelo
dronerf_00000_15,fondo,0,0.2898901910784893,0.7101098089215108,2,fondo,0.12288017828616865,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_00000_16,fondo,0,0.05772228610211316,0.9422777138978868,2,fondo,0.3550480832625448,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_00000_17,fondo,0,0.21934890082601502,0.780651099173985,2,fondo,0.19342146853864292,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10000_19,dron,0,0.8621441845490961,0.13785581545090386,2,dron,0.4493738151844382,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10001_19,dron,0,0.8020983465202464,0.19790165347975364,2,dron,0.3893279771555884,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10010_19,dron,0,0.7875942864533466,0.21240571354665339,2,dron,0.3748239170886887,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10011_19,dron,0,0.7619643599169776,0.23803564008302242,2,dron,0.3491939905523197,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10100_19,dron,0,0.7097830951137117,0.29021690488628826,2,dron,0.2970127257490538,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10101_19,dron,0,0.7717293023064613,0.2282706976935388,2,dron,0.35895893294180337,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10110_19,dron,0,0.8184942588150166,0.18150574118498336,2,dron,0.40572388945035864,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_10111_16,dron,0,0.7292855859063296,0.27071441409367036,2,dron,0.3165152165416717,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_11000_19,dron,0,0.8551694483721313,0.1448305516278688,2,dron,0.44239907900747333,False,actividad,evaluacion_reservada,,,,,,,,,
dronerf_00000_0,fondo,1,0.30929282195913127,0.6907071780408688,2,fondo,0.10347754740552667,False,actividad,desarrollo_oof,,,,,,,,,
dronerf_00000_1,fondo,2,0.3223244287263991,0.6776755712736009,2,fondo,0.09044594063825884,False,actividad,desarrollo_oof,,,,,,,,,
dronerf_00000_2,fondo,3,0.2587328822656825,0.7412671177343175,2,fondo,0.15403748709897547,False,actividad,desarrollo_oof,,,,,,,,,
dronerf_00000_3,fondo,4,0.2932279557459717,0.7067720442540283,2,fondo,0.11954241361868623,False,actividad,desarrollo_oof,,,,,,,,,
dronerf_00000_4,fondo,3,0.26618278174254273,0.7338172182574574,2,fondo,0.1465875876221152,False,actividad,desarrollo_oof,,,,,,,,,
